masked_phrase|word|distractor1|distractor2|distractor3
[MASK] the ice|Break|Crack|Smash|Chill
[MASK] the nail on the head|Hit|Strike|Knock|Pound
[MASK] in a blue moon|Once|Twice|Rarely|Seldom
[MASK] the cat out of the bag|Let|Release|Push|Drop
[MASK] an arm and a leg|Cost|Pay|Spend|Charge
[MASK] the bullet|Bite|Take|Swallow|Face
[MASK] the weather|Under|Over|Beyond|About
[MASK] to the drawing board|Back|Return|Go|Start
[MASK] the boat|Miss|Lose|Pass|Hit
[MASK] up the wrong tree|Barking|Climbing|Jumping|Looking
[MASK] it a day|Call|Make|Do|Take
[MASK] the midnight oil|Burn|Light|Use|Work
[MASK] corners|Cut|Skip|Trim|Save
[MASK] the gun|Jump|Fire|Pull|Shoot
[MASK] someone’s leg|Pull|Kick|Tap|Hit
[MASK] the same page|On|At|With|Over
[MASK] hot water|In|Under|Over|Around
[MASK] around the bush|Beat|Walk|Run|Talk
[MASK] in the towel|Throw|Put|Drop|Lift
[MASK] the skin of your teeth|By|Through|With|Over
[MASK] thin ice|On|Above|Upon|Over
[MASK] out of hand|Get|Take|Come|Run
[MASK] blessing in disguise|A|The|Some|One
[MASK] of the devil|Speak|Talk|Mention|Refer
[MASK] the sack|Hit|Strike|Drop|Catch
The [MASK] of the iceberg|Tip|Top|Peak|Point
[MASK] the extra mile|Go|Walk|Take|Step
[MASK] the ground running|Hit|Start|Go|Move
[MASK] the long run|In|Over|During|Through
[MASK] two birds with one stone|Kill|Catch|Strike|Hit
[MASK] it by ear|Play|Take|Hear|Listen
[MASK] the top of my head|Off|From|At|On
[MASK] on the fence|Sit|Stand|Rest|Perch
[MASK] in the air|Up|Over|Around|Above
The [MASK] of both worlds|Best|Greatest|Coolest|Hottest
[MASK] thick and thin|Through|Over|Across|Along
[MASK] someone under the bus|Throw|Push|Hit|Drop
[MASK] a blind eye|Turn|Close|Keep|Cast
[MASK] pigs fly|When|If|Once|Should
[MASK] of mouth|Word|Speech|Talk|Line
You can’t [MASK] a book by its cover|Judge|Read|Understand|Believe
[MASK] flies when you’re having fun|Time|Life|Days|Moments
[MASK] guess is as good as mine|Your|My|One|Their
Add fuel to the [MASK]|fire|flame|heat|spark
All talk and no [MASK]|action|work|words|deed
At the drop of a [MASK]|hat|hand|flag|stone
Bend over backwards to [MASK]|help|serve|assist|aid
Burn bridges behind [MASK]|you|them|him|her
Caught between a rock and a hard [MASK]|place|spot|wall|ground
Cross that bridge when we get [MASK]|there|over|here|home
Cut to the [MASK]|chase|end|goal|line
Don’t count your chickens before they [MASK]|hatch|lay|appear|grow
Every cloud has a silver [MASK]|lining|edge|glow|stripe
Fit like a [MASK]|glove|hand|sock|mitt
Get a taste of your own [MASK]|medicine|food|luck|treatment
Give someone the benefit of the [MASK]|doubt|trust|question|decision
Go down in [MASK]|flames|smoke|ice|failure
Hear it straight from the horse’s [MASK]|mouth|head|voice|ears
Hit the [MASK]|road|ground|track|trail
In the blink of an [MASK]|eye|moment|instance|flash
It takes two to [MASK]|tango|dance|fight|play
Jump on the [MASK]|bandwagon|train|wagon|trend
Keep your cards close to your [MASK]|chest|hand|heart|body
Leave no stone [MASK]|unturned|overturned|missed|ignored
Make a long story [MASK]|short|quick|brief|simple
Not playing with a full [MASK]|deck|hand|set|pile
On cloud [MASK]|nine|ten|eight|seven
Read between the [MASK]|lines|words|phrases|sentences
Rock the [MASK]|boat|ship|canoe|raft
Run around like a headless [MASK]|chicken|duck|turkey|goose
See the writing on the [MASK]|wall|board|screen|door
Shoot yourself in the [MASK]|foot|hand|face|arm
Sink or [MASK]|swim|float|drown|fall
Steal someone’s [MASK]|thunder|limelight|spotlight|moment
Take the bull by the [MASK]|horns|tail|legs|head
The elephant in the [MASK]|room|house|corner|hall
The straw that broke the camel’s [MASK]|back|neck|spine|body
There’s no smoke without [MASK]|fire|flame|heat|burn
Throw caution to the [MASK]|wind|air|water|fire
Turn over a new [MASK]|leaf|page|chapter|book
Water under the [MASK]|bridge|river|dam|flood
Wear your heart on your [MASK]|sleeve|chest|arm|hand
Where there’s a will, there’s a [MASK]|way|path|road|chance
Your bark is worse than your [MASK]|bite|growl|snarl|howl
Go back to square [MASK]|one|two|zero|three
Call the [MASK]|shots|tunes|plays|moves
Once in a [MASK] moon|blue|red|green|white
Let the [MASK] out of the bag|cat|dog|mouse|rat
Cost an arm and a [MASK]|leg|hand|foot|eye
The ball is in your [MASK]|court|field|garden|yard
Burn the midnight [MASK]|oil|candle|lamp|light
Pull someone’s [MASK]|leg|arm|finger|hair
On the same [MASK]|page|line|paragraph|chapter
In hot [MASK]|water|fire|soup|trouble
Beat around the [MASK]|bush|tree|corner|field
Throw in the [MASK]|towel|napkin|cloth|rag
By the skin of your [MASK]|teeth|hands|fingers|toes
On thin [MASK]|ice|glass|ground|edge
Get out of [MASK]|hand|control|reach|way
A blessing in [MASK]|disguise|costume|mask|fortune
Speak of the [MASK]|devil|angel|saint|ghost
Hit the [MASK]|sack|bag|bed|floor
The tip of the [MASK]|iceberg|mountain|rock|pyramid
Go the extra [MASK]|mile|step|inch|yard
Hit the ground [MASK]|running|moving|walking|jogging
In the long [MASK]|run|haul|stretch|journey
Kill two birds with one [MASK]|stone|arrow|bullet|shot
Play it by [MASK]|ear|feel|instinct|mind
Off the top of my [MASK]|head|mind|shoulder|hand
Pull yourself [MASK]|together|apart|back|around
Sit on the [MASK]|fence|chair|ledge|porch
Up in the [MASK]|air|sky|clouds|heavens
Through thick and [MASK]|thin|thinness|layers|folds
Throw someone under the [MASK]|bus|car|truck|van
Turn a blind [MASK]|eye|ear|face|hand
When pigs [MASK]|fly|jump|run|dance
Word of [MASK]|mouth|hand|eye|ear
Time flies when you’re having [MASK]|fun|joy|play|laughter
Your guess is as good as [MASK]|mine|yours|theirs|ours
