masked_phrase|word|distractor1|distractor2|distractor3
Government of the people, by the people, for the people, shall not perish from the [MASK].|Earth|world|universe|galaxy
Ask not what your [MASK] can do for you — ask what you can do for your country.|country|government|state|president
The only thing we have to [MASK] is fear itself.|fear|doubt|worry|danger
Mr. Gorbachev, tear down this [MASK]!|wall|barrier|fence|gate
All men are created [MASK].|equal|free|just|human
A house divided against itself cannot [MASK].|stand|fall|endure|survive
We must be the great [MASK] of democracy.|arsenal|defender|champion|guardian
It is better to offer no [MASK] than a bad one.|excuse|reason|explanation|answer
The buck stops [MASK].|here|now|today|there
"[MASK] we can." - Obama|Yes|No|Maybe|Together
Power tends to corrupt and [MASK] power corrupts absolutely.|absolute|all|excessive|much
The price of [MASK] is eternal vigilance.|freedom|liberty|peace|democracy
Injustice anywhere is a [MASK] to justice everywhere.|threat|block|signal|challenge
Man is by nature a political [MASK].|animal|being|creature|organism
The ends justify the [MASK].|means|methods|actions|goals
Government is not the solution to our problem; government is the [MASK].|problem|answer|solution|challenge
[MASK] is the worst form of government, except for all the other forms that have been tried.|Democracy|Feudalism|Communism|Capitalism
Those who make [MASK] revolution impossible make violent revolution inevitable.|peaceful|quiet|pacifist|fast
The first duty of a government is to [MASK] the people.|protect|serve|tax|control
An eye for an eye will leave the whole world [MASK].|blind|destroyed|suffering|shattered
War is peace. Freedom is [MASK]. Ignorance is strength.|slavery|power|truth|control
The best way to [MASK] the future is to create it.|predict|shape|control|foresee
Those who cannot remember the past are [MASK] to repeat it.|condemned|doomed|fated|likely
Let them [MASK] cake.|eat|bake|share|buy
The only thing necessary for the triumph of evil is for good men to do [MASK].|nothing|something|everything|their best
Education is the most powerful [MASK] which you can use to change the world.|weapon|tool|resource|force
Liberty, once lost, is lost [MASK].|forever|indeed|truly|permanently
History is written by the [MASK].|victors|winners|strong|leaders
The greatest leader is not necessarily the one who does the greatest things. He is the one that gets the [MASK] to do the greatest things.|people|animals|followers|children
Power concedes nothing without a [MASK].|demand|fight|vote|plea
All men are created [MASK].|equal|free|independent|worthy
Liberty is to faction what air is to [MASK].|fire|water|wind|earth
A government that is big enough to give you everything you want is big enough to [MASK] everything you have.|take|protect|control|regulate
Democracy is not a [MASK] sport.|spectator|team|competitive|public
Where the people fear the [MASK], there is tyranny.|government|enemy|opposition|leader
The tree of liberty must be refreshed from time to time with the [MASK] of patriots and tyrants.|blood|sweat|tears|fear
To be prepared for war is one of the most effective means of [MASK] peace.|preserving|securing|attaining|finding
The ballot is stronger than the [MASK].|bullet|sword|vote|law
Freedom is never more than one [MASK] away from extinction.|generation|year|moment|decade
The best argument against democracy is a five-minute conversation with the [MASK] voter.|average|typical|ordinary|common
In the long run, we shape our [MASK], and thereafter our [MASK] shapes us.|lives|destiny|history|future
To govern is to [MASK].|choose|lead|serve|decide
We will make [MASK] great again.|America|the country|our nation|the world
I know [MASK]. I have the best [MASK].|words|ideas|speeches|phrases
Fake [MASK]!|news|reports|media|stories
We’re going to build a [MASK].|wall|fence|barrier|border
Cov[MASK]|fefe|fete|tete|fett
I'm not a [MASK]|crook|villain|scoundrel|criminal
I did not have sexual relations with that [MASK]|woman|girl|man|rock
Trump: Obamna. Biden: [MASK].|SODA|WATER|COKE|FANTA
[MASK] Man strikes again|Florida|Texas|California|New York
I am once again asking for your [MASK].|support|money|attention|vote
Read my lips: no new [MASK].|taxes|laws|rules|policies
Speak softly and carry a big [MASK].|stick|voice|message|plan
Politics is the art of the [MASK].|possible|impossible|unknown|future
Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had ever [MASK].|happened|mattered|changed|occurred
Senator, you’re no Jack [MASK].|Kennedy|Nicholson|Black|Truman
Politicians are the same all over. They promise to build a [MASK] even where there is no river.|bridge|aquarium|school|park
Politics is more difficult than [MASK].|physics|war|math|economics
Where there is no vision, the people [MASK].|perish|prosper|gather|stand
Let us not seek the Republican answer or the Democratic answer, but the [MASK] answer.|right|left|Green|Libertarian
The most terrifying words in the English language are: I’m from the government and I’m here to [MASK].|help|rule|watch|tell
Our enemies are innovative and resourceful, and so are [MASK].|we|they|you|I
A politician thinks of the next election; a statesman thinks of the next [MASK].|generation|vote|month|debate
A house divided against itself cannot [MASK].|stand|win|grow|survive
Women belong in all places where [MASK] are being made.|decisions|laws|rules|policies
The problem with political jokes is they get [MASK].|elected|laughed|shared|ignored
Politics is supposed to be the second oldest profession. I have come to realise that it bears a very close resemblance to the [MASK].|first|third|last|modern
If I want to knock a story off the front page, I just change my [MASK].|hairstyle|mind|tone|eye colour
Liz Truss said the [MASK] livestream was puerile.|lettuce|cauliflower|carrot|bread
Never in the field of human conflict was so much owed by so many to so [MASK].|few|many|little|great
