masked_phrase|word|distractor1|distractor2|distractor3
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
Joe [MASK]|Mama|Papa|Dada|Peepee
