masked_phrase|word|distractor1|distractor2|distractor3
"""Frankly, my dear, I don’t give a [MASK]."" - Gone with the Wind (1939)"|damn|hoot|care|curse
"""I'm going to make him an [MASK] he can't refuse."" - The Godfather (1972)"|offer|deal|promise|invitation
"""I coulda been a [MASK]."" - On the Waterfront (1954)"|contender|champion|winner|fighter
"""Toto, I've got a [MASK] we're not in Kansas anymore."" - The Wizard of Oz (1939)"|feeling|hunch|thought|sense
"""Here's [MASK] at you, kid."" - Casablanca (1942)"|looking|staring|glancing|waving
"""Go ahead, [MASK] my day."" - Sudden Impact (1983)"|make|ruin|save|start
"""All right, Mr. DeMille, I'm ready for my [MASK]."" - Sunset Blvd. (1950)"|closeup|debut|entrance|scene
"""May the [MASK] be with you."" - Star Wars (1977)"|Force|Luck|Power|Spirit
"""Fasten your [MASK]. It's going to be a bumpy night."" - All About Eve (1950)"|seatbelts|laces|hats|harness
"""You [MASK] to me?"" - Taxi Driver (1976)"|talking|looking|shouting|whispering
"""What we've got here is failure to [MASK]."" - Cool Hand Luke (1967)"|communicate|cooperate|understand|listen
"""I love the [MASK] of napalm in the morning."" - Apocalypse Now (1979)"|smell|sight|heat|sound
"""Love means never having to say you're [MASK]."" - Love Story (1970)"|sorry|wrong|lonely|finished
"""The stuff that [MASK] are made of."" - The Maltese Falcon (1941)"|dreams|legends|stars|gold
"""E.T. [MASK] home."" - E.T. the Extra-Terrestrial (1982)"|phone|call|find|go
"""They call me [MASK] Tibbs!"" - In the Heat of the Night (1967)"|Mister|Officer|Detective|Agent
"""[MASK]."" - Citizen Kane (1941)"|Rosebud|Snowflake|Sled|Memories
"""Made it, Ma! [MASK] of the world!"" - White Heat (1949)"|Top|King|Edge|Master
"""I'm as [MASK] as hell| and I'm not going to take this anymore!"" - Network (1976)"|mad|angry|tired|sick
"""Louis, I think this is the beginning of a beautiful [MASK]."" - Casablanca (1942)"|friendship|romance|journey|partnership
"""I ate his liver with some fava beans and a nice [MASK]."" - The Silence of the Lambs (1991)"|Chianti|Merlot|Whiskey|Soda
"""Bond. [MASK] Bond."" - Dr. No (1962)"|James|John|Jason|Julian
"""There's no place like [MASK]."" - The Wizard of Oz (1939)"|home|here|Oz|Kansas
"""I am big! It's the [MASK] that got small."" - Sunset Blvd. (1950)"|pictures|actors|movies|screens
"""[MASK] me the money!"" - Jerry Maguire (1996)"|Show|Give|Hand|Send
"""Why don't you come up [MASK] and see me?"" - She Done Him Wrong (1933)"|sometime|tonight|later|often
"""I'm [MASK] here!"" - Midnight Cowboy (1969)"|walking|driving|standing|talking
"""Play it, Sam. Play '[MASK] Time Goes By.'"" - Casablanca (1942)"|As|When|While|Where
"""You can't [MASK] the truth!"" - A Few Good Men (1992)"|handle|hear|face|accept
"""I want to be [MASK]."" - Grand Hotel (1932)"|alone|free|happy|quiet
"""After all, [MASK] is another day!"" - Gone with the Wind (1939)"|tomorrow|Monday|later|today
"""[MASK] up the usual suspects."" - Casablanca (1942)"|Round|Gather|Bring|Pick
"""I'll have [MASK] she's having."" - When Harry Met Sally (1989)"|what|whatever|which|that
"""You know how to [MASK], don't you, Steve?"" - To Have and Have Not (1944)"|whistle|dance|sing|laugh
"""You're gonna need a bigger [MASK]."" - Jaws (1975)"|boat|hook|net|gun
"""We don't need no stinking [MASK]!"" - The Treasure of the Sierra Madre (1948)"|badges|rules|papers|advice
"""I'll [MASK] back."" - The Terminator (1984)"|be|come|get|stay
