masked_phrase|word|distractor1|distractor2|distractor3
"Zǎo shang hǎo zhōng guó! Xiàn zài wǒ yǒu [MASK]!" - John Cena|bing chilling|Lao Gan Ma|Cena|Taiwan
"And that’s the bottom line, ’cause Stone Cold [MASK] so." – Stone Cold Steve Austin|said|knows|claims|proved
"If you smell what The Rock is [MASK]!" – The Rock|cooking|selling|planning|burning
"Rest… in… [MASK]." – The Undertaker|peace|power|silence|darkness
"To be the man, you gotta beat the [MASK]." – Ric Flair|man|champ|best|legend
"Whatcha gonna do when Hulkamania runs [MASK] on you?" – Hulk Hogan|wild|thick|tame|hot
"You can’t [MASK] me." – John Cena|see|beat|understand|kill
"It’s time to play the [MASK]." – Triple H|game|role|match|angle
"I lie, I cheat, I [MASK]." – Eddie Guerrero|steal|win|fight|dominate
"Everybody’s got a [MASK]." – The Million Dollar Man|price|limit|dream|weakness
"Have a nice [MASK]!" – Mick Foley|day|fall|match|trip
"It doesn’t matter what you [MASK]!" – The Rock|think|say|know|believe
John Cena was born in [MASK], Massachusetts.|West Newbury|Boston|Springfield|Salem
John Cena is a [MASK]-time world champion in WWE.|17|14|12|10
John Cena’s entrance music is titled '[MASK]'.|The Time Is Now|Never Back Down|My Time|Word Life
John Cena used to have rapper persona known as the Doctor of [MASK].|Thuganomics|Hustlenomics|Beatomics|Supanomics
John Cena’s finishing move is the Attitude [MASK].|Adjustment|Driver|Breaker|Bomb
The Attitude Adjustment was originally called the [MASK].|FU|AA|Death Valley Driver|Cena Slam
John Cena starred in the WWE Studios film '[MASK]'.|The Marine|12 Rounds|Fast Five|Legend
John Cena appeared in Fast & Furious 9 and The [MASK] Squad.|Suicide|Justice|Avengers|Street
John Cena can speak conversational [MASK].|Mandarin|Japanese|Korean|Cantonese
Lucha libre originated in [MASK]."|Mexico|Spain|Brazil|Cuba
Lucha libre is especially famous for its colourful [MASK].|masks|boots|robes|capes
In lucha libre, a wrestler’s mask represents their [MASK].|identity|ranking|salary|record
Mask vs. mask matches are called 'Máscara contra [MASK].'.|Máscara|Cabellera|Nombre|Honor
Losing a máscara match usually means a luchador must [MASK].|unmask|retire|change names|leave Mexico
Mask vs. hair matches are known as 'Máscara contra [MASK].'.|Cabellera|Nombre|Fuerza|Orgullo
The terms 'técnico' and 'rudo' describe a wrestler’s [MASK].|morals|weight class|origin|mask color
Técnicos are usually portrayed as the [MASK].|heroes|villains|giants|rookies
The bad guys in lucha libre are known as [MASK].|rudos|técnicos|luchas|santos
El [MASK] is considered one of the most famous luchadores of all time.|Santo|Santa|Santos|Santino
Blue [MASK] was a famous rival of El Santo.|Demon|Devil|Angel|Monster
Rey [MASK] popularized lucha libre in American wrestling.|Mysterio|Fenix|Lucha|Santo
[MASK] is the oldest active wrestling promotion in the world.|CMLL|AAA|NJPW|AWA
Lucha libre crowds often throw [MASK] at villains.|trash|coins|flowers|paper
A luchador’s real [MASK] is often kept secret.|name|height|weight|voice
The wrestling ring in Mexico is commonly called the [MASK].|cuadrilátero|arena|ring|plaza
Taking someone’s [MASK] is considered the ultimate humiliation in lucha libre.|mask|championship|money|pet
Good guys in wrestling are traditionally called [MASK].|faces|heels|workers|shoots
Bad guys in wrestling are known as [MASK].|heels|faces|giants|newts
A wrestler who turns evil is said to turn [MASK].|heel|face|rogue|silent
Wrestling storylines are commonly referred to as [MASK].|angles|arcs|plots|segments
Championship belts are often called championship [MASK].|titles|straps|rewards|crowns
[MASK] are spoken segments used to build storyline.|promos|speeches|salts|scrabbles
A planned dramatic moment in a match is called a [MASK].|spot|cut|beat|sell
A match that appears unplanned or real is known as a [MASK].|shoot|swerve|work|angle
Failing to execute a move properly is known as a [MASK].|botch|miss|slip|break
Exaggerating pain to make moves look effective is called [MASK].|selling|acting|posing|working
An wrestler who loses frequently is called a [MASK].|jobber|rookie|heel|extra
The final match of a show is known as the [MASK].|main event|headline|closer|feature
A popular wrestler is said to be '[MASK]' with the crowd.|over|under|inside|outside
"Goodnight HULKAMANIACS and jabronie marks without a [MASK] that don't know it a work when you work a work and work yourself into a shoot,marks" - Hulk Hogan|life|wife|job|head
Stone Cold's finishing move is the Stone Cold [MASK].|stunner|cutter|smasher|basher
The People's [MASK] is a famous move from the Rock.|Elbow|Knee|Forehead|Forearm
Peacemaker's real name is Christopher [MASK].|Smith|Jones|Fletcher|Roberts
AJ Styles' finishing move is the Styles [MASK].|Clash|Smash|Bash|Crash
Undertaker is known for the Tombstone [MASK].|Piledriver|Driver|Crusher|Slam
Rey Mysterio is famous for using the [MASK].|619|618|620|6767
