masked_phrase|word|distractor1|distractor2|distractor3
All your base are [MASK] to us.|belong|taken|given|owned
I can has [MASK] please.|cheezburger|hamburger|pizza|taco
One does not simply [MASK] into Mordor.|walk|run|jump|travel
Hide yo kids, hide yo [MASK].|wife|house|money|phone
Charlie bit my [MASK].|finger|hand|arm|toe
It’s over [MASK] thousand!|nine|eight|ten|one
Bad luck [MASK] strikes again.|Brian|Kevin|Steve|Paul
Ermahgerd they terk er [MASK].|jerbs|cers|herms|pherns
Overly attached [MASK] intensifies.|girlfriend|boyfriend|friend|neighbor
First world [MASK] detected.|problems|issues|errors|habits
Shrek is [MASK]. Shrek is life.|love|green|father|ogre
Damn [MASK], back at it again.|Daniel|Kevin|Michael|Chris
Dat [MASK] oh shit waddup.|boi|gurl|man|wamen
This is [MASK], everything is burning.|fine|bad|okay|normal
Hide the pain [MASK] smiles.|Harold|Henry|George|Frank
Is this a [MASK]?|pigeon|bird|plane|bee
Woman yelling at [MASK].|cat|dog|man|child
Surprised [MASK] face.|Pikachu|Mario|Sonic|Kirby
Galaxy [MASK] activated.|brain|mind|mode|power
We live in a [MASK].|society|world|system|loop
They had us in the first [MASK].|half|round|part|act
Ight imma head [MASK].|out|home|away|down
[MASK] only go up.|Stonks|Stocks|Numbers|Prices
Ok [MASK].|boomer|brother|dad|sir
No thoughts head [MASK].|empty|clear|open|blank
Return to [MASK].|monke|nature|forest|home
Big [MASK].|Chungus|Rabbit|Bunny|Boy
Swole doge versus [MASK].|cheems|pup|cat|mutt
Karen wants to speak to the [MASK].|manager|boss|owner|police
Among us is [MASK].|sus|weird|funny|odd
Slaps roof of [MASK].|car|truck|van|bus
Mr Incredible becomes [MASK].|uncanny|angry|sad|strong
It’s [MASK] and it’s amazing.|corn|food|gold|life
[MASK], that’s kinda clean.|Sheesh|Wow|Yo|Bro
Why he built like [MASK].|that|this|him|them
Touch [MASK] immediately please.|grass|water|food|reality
It’s [MASK] time.|morbin|pizza|party|grind
Only in [MASK] moment.|Ohio|America|school|internet
Skibidi [MASK] lore deepens.|toilet|story|song|dance
Fanum tax has been [MASK].|collected|paid|lost|raised
[MASK] shake incident reported.|Grimace|Milk|Bot|Ronald
Bro is not [MASK].|real|okay|normal|fine
Let him [MASK].|cook|go|win|try
Tung tung tung [MASK].|sahur|crocadilo|drum|beat
We [MASK] Charlie Kirk.|are|worship|love|hate
[MASK] girl aesthetic unlocked.|Clean|Soft|Vanilla|Pinterest
[MASK] walk has entered the chat.|NPC|Sigma|Side|Confidence
[MASK] core is taking over TikTok.|Corecore|Weirdcore|Normcore|Dreamcore
[MASK] boy summer is cancelled.|Hot|Soft|Sad|Short
[MASK] check is mandatory now.|Vibe|Fit|Mood|Energy
The [MASK] brainrot characters go hard.|Italian|French|Spanish|Swedish
Unskippable [MASK] scare warning.|jump|fly|sudden|wolf
Bombardilo [MASK]|crocadilo|sahur|goosini|frula
Brace yourselves, [MASK] is coming.|winter|summer|spring|autumn
Six-[MASK]!|seven|eight|nine|six
And his name is John [MASK]!|Cena|Stamos|Kennedy|Lennon
Press F to pay [MASK].|respects|money|landlord|silence
Still a better love story than [MASK].|Twilight|Titanic|Romeo|Notebook
"Hello there." "General [MASK]."|Kenobi|Grievous|Skywalker|Yoda
This is where the fun [MASK].|begins|starts|happens|continues
It's over, Anakin. I have the high [MASK].|ground|rank|position|drugs
You underestimate my [MASK]!|power|strength|anger|skill
"I am the [MASK]." — Chancellor Palpatine.|Senate|Frank|Sheev|Organa
Did you ever hear the tragedy of Darth [MASK] the Wise?|Plagueis|Bane|Revan|Maul
Unlimited [MASK]!|power|force|strength|energy
I don't like [MASK]. It's coarse and rough and irritating.|sand|dust|dirt|soil
This is getting out of hand. Now there are [MASK] of them!|two|three|many|dozens
Now this is [MASK]! — Anakin Skywalker.|podracing|Sparta|Patrick|bad
You're breaking my [MASK], Anakin.|heart|trust|spirit|hope
Only a Sith deals in [MASK].|absolutes|lies|darkness|secrets
You are on this council, but we do not grant you the rank of [MASK].|Master|Knight|Leader|Teacher
Da me da [MASK]|ne|me|le|pe
Joe [MASK]|Mama|Papa|Dada|Peepee
